2017-11-18  23:02:23.706 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017343706
2017-11-18  23:02:23.706 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017343706
2017-11-18  23:02:23.706 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017343706
2017-11-18  23:02:23.706 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017343706
2017-11-18  23:02:23.808 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017343808
2017-11-18  23:02:23.808 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017343808
2017-11-18  23:02:23.808 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017343808
2017-11-18  23:02:23.808 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017343808
2017-11-18  23:02:23.909 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017343909
2017-11-18  23:02:23.909 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017343909
2017-11-18  23:02:23.909 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017343909
2017-11-18  23:02:23.910 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017343910
2017-11-18  23:02:24.011 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017344011
2017-11-18  23:02:24.011 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017344011
2017-11-18  23:02:24.011 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017344011
2017-11-18  23:02:24.011 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017344011
2017-11-18  23:02:24.112 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017344112
2017-11-18  23:02:24.112 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017344112
2017-11-18  23:02:24.112 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017344112
2017-11-18  23:02:24.112 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017344112
2017-11-18  23:02:24.212 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017344212
2017-11-18  23:02:24.212 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017344212
2017-11-18  23:02:24.212 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017344212
