2017-11-18  14:52:07.391 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1510987927391
2017-11-18  14:52:07.391 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1510987927391
2017-11-18  14:52:07.391 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1510987927391
2017-11-18  14:52:07.391 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1510987927391
2017-11-18  14:52:07.507 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1510987927507
2017-11-18  14:52:07.507 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1510987927507
2017-11-18  14:52:07.507 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1510987927507
2017-11-18  14:52:07.507 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1510987927507
2017-11-18  14:52:07.607 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1510987927607
2017-11-18  14:52:07.607 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1510987927607
2017-11-18  14:52:07.607 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1510987927607
2017-11-18  14:52:07.607 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1510987927607
2017-11-18  14:52:07.721 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1510987927721
2017-11-18  14:52:07.721 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1510987927721
2017-11-18  14:52:07.721 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1510987927721
2017-11-18  14:52:07.721 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1510987927721
2017-11-18  14:52:07.828 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1510987927828
2017-11-18  14:52:07.828 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1510987927828
2017-11-18  14:52:07.829 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1510987927829
2017-11-18  14:52:07.829 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1510987927829
2017-11-18  14:52:07.945 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1510987927945
